Date	index	open	high	low	close	weighted_price	high_low_spread	midquote_price	effective_spread	7_trailing	7_next_trailing	volume_btc	volume_currency
2016-01-01	31	431.35	435.88	428.22	433.66	432.87	7.66	3.83	859.65	-22.52617	20.2161725	8749.673804529999	3789078.83
2016-01-02	32	434.71	435.99	431.18	434.44	433.7	4.81	2.41	864.07	16.345	15.4125	6591.31005265	2862465.49
2016-01-03	33	434.02	434.53	424.06	429.88	429.01	10.47	5.24	849.28	5.9650025	19.1249975	9678.40218607	4157151.63
2016-01-04	34	430.43	435.12	428.82	433.01	432.4	6.3	3.15	859.72	10.8135375	16.58911	13463.971066299999	5832898.79
2016-01-05	35	432.75	435.14	429.5	432.35	432.15	5.64	2.82	859.06	0.0850000000001	3.425	10381.184702740002	4492484.21
2016-01-06	36	432.2	432.44	427.21	429.9	430.16	5.23	2.62	854.56	3.9828225	3.025425	12809.357390649999	5519290.27
2016-01-07	37	429.76	459.12	429.25	458.12	447.85	29.87	14.94	886.37	27.495885	-27.9421225	34986.55022838	15701270.82
2016-01-08	38	457.84	463.33	446.58	453.88	454.98	16.75	8.37	891.0	20.2161725	-93.27	21181.17940135	9636610.85
2016-01-09	39	453.13	456.18	447.84	449.85	451.66	8.34	4.17	891.36	15.4125	-61.6755	9862.74602773	4446701.08
2016-01-10	40	449.62	450.42	441.71	449.0	445.87	8.71	4.36	889.29	19.1249975	-68.599945	9171.05873846	4086285.83
2016-01-11	41	449.12	452.33	442.23	449.6	447.66	10.1	5.05	889.1	16.58911	-62.9626475	15308.55991041	6841769.21
2016-01-12	42	449.34	449.39	435.09	435.78	445.36	14.3	7.15	857.25	3.425	-57.777445	17392.02978945	7726570.96
2016-01-13	43	435.56	441.94	425.15	432.92	431.29	16.79	8.4	849.05	3.025425	-15.1054	22499.34819194	9683871.15
2016-01-14	44	432.57	435.1	427.29	430.18	431.58	7.81	3.9	852.54	-27.9421225	-19.7912625	11583.04211726	4996125.88
2016-01-15	45	430.15	430.39	360.55	360.6	396.38	69.84	34.92	651.37	-93.27	21.9675	82756.38009789001	32766859.67
2016-01-16	46	360.55	391.46	351.7	388.18	372.27	39.77	19.88	736.59	-61.6755	-1.752035	47563.95848401	17691066.86
2016-01-17	47	388.43	391.56	376.8	380.4	384.81	14.76	7.38	746.04	-68.599945	21.6124725	18566.791958529997	7126556.6
2016-01-18	48	380.46	388.53	373.84	386.64	382.76	14.7	7.35	758.58	-62.9626475	5.14	17931.68292457	6836719.39
2016-01-19	49	386.75	387.72	375.68	378.0	382.16	12.05	6.02	743.95	-57.777445	14.877445	18685.00036049	7117476.32
2016-01-20	50	377.9	424.19	373.18	417.82	400.78	51.01	25.5	784.63	-15.1054	-121.740025	47943.91869779	19176501.47
2016-01-21	51	418.56	423.4	404.9	410.38	413.35	18.49	9.25	802.28	-19.7912625	-125.54	22129.6365147	9135759.03
2016-01-22	52	409.84	411.55	374.58	382.57	391.52	36.97	18.49	728.17	21.9675	-98.57	34867.23065734	13625300.13
2016-01-23	53	382.84	395.72	381.55	386.42	388.72	14.17	7.09	758.68	-1.752035	-103.622465	15856.56911085	6167383.52
2016-01-24	54	387.15	406.24	386.39	402.01	398.73	19.85	9.92	784.18	21.6124725	-126.1575275	11898.99395688	4754297.73
2016-01-25	55	402.05	402.08	386.46	391.78	394.99	15.62	7.81	767.93	5.14	-113.23	18312.7909252	7223626.63
2016-01-26	56	391.69	399.78	388.13	392.88	393.72	11.65	5.83	774.1	14.877445	-113.09	17369.34200319	6824649.17
2016-01-27	57	293.73	297.71	293.09	296.08	295.82	4.62	2.31	587.53	-121.740025	-19.47	12045.962726900001	4750404.74
2016-01-28	58	295.95	296.36	282.87	284.85	287.57	13.49	6.75	556.2	-125.54	6.03	23693.307497370002	9078175.7
2016-01-29	59	284.57	288.38	272.81	284.0	281.58	15.57	7.79	552.43	-98.57	4.62	31228.2689569	11726498.06
2016-01-30	60	283.85	285.86	280.86	282.8	283.6	5.0	2.5	560.6	-103.622465	-1.49	7524.34639567	2845908.12
2016-01-31	61	283.11	285.29	273.55	275.86	281.52	11.74	5.87	539.97	-126.1575275	5.9025	12344.60013336	4637296.08
2016-02-01	62	276.01	284.09	274.67	278.54	279.31	9.42	4.71	547.67	-113.23	-0.2225	19554.07574691	7281621.36
2016-02-02	63	278.48	281.23	277.93	279.79	279.87	3.3	1.65	556.27	-113.09	-0.4075	15515.297481549998	5788358.59
2016-02-03	64	279.74	280.16	274.28	276.61	277.85	5.88	2.94	547.33	-19.47	7.4	17204.80118164	6372531.1
2016-02-04	65	276.66	293.12	276.52	290.88	285.89	16.61	8.3	565.14	6.03	-8.555	30541.367715399996	11646293.55
2016-02-05	66	290.84	292.18	287.42	288.62	289.89	4.76	2.38	572.48	4.62	-1.5925	17856.00148853	6901505.84
2016-02-06	67	288.65	288.7	277.84	281.31	282.06	10.86	5.43	551.76	-1.49	11.685	14872.64950285	5593824.98
2016-02-07	68	281.46	284.65	279.69	281.76	282.04	4.96	2.48	558.56	5.9025	22.5375	8455.69232977	3180629.11
2016-02-08	69	281.94	284.09	277.71	278.32	280.92	6.38	3.19	550.27	-0.2225	20.9775	17298.649144590003	6479564.04
2016-02-09	70	278.3	281.81	277.33	279.38	279.52	4.48	2.24	554.27	-0.4075	26.1625	19028.9682083	7090643.85
2016-02-10	71	279.59	287.26	278.89	284.01	282.77	8.38	4.19	559.64	7.4	27.335	24855.207217249997	9377459.31
2016-02-11	72	283.97	284.75	276.34	282.32	282.04	8.41	4.2	556.23	-8.555	33.4725	26343.47167889	9903313.17
2016-02-12	73	282.66	287.36	282.13	287.03	285.42	5.22	2.61	568.84	-1.5925	28.005	17568.90118483	6686004.87
2016-02-13	74	287.01	294.3	286.75	293.0	290.88	7.55	3.77	578.45	11.685	33.5975	14889.20671305	5774465.48
2016-02-14	75	293.22	304.8	293.12	304.29	298.54	11.69	5.84	596.9	22.5375	24.395	20556.714661590002	8189509.28
2016-02-15	76	304.37	306.88	295.62	299.3	301.52	11.25	5.62	587.35	20.9775	29.0075	17455.21491903	7017308.9
2016-02-16	77	299.45	305.86	296.05	305.54	302.84	9.81	4.91	601.27	26.1625	9.1575	17442.52978273	7042211.45
2016-02-17	78	305.54	315.6	303.87	311.34	311.12	11.73	5.86	610.96	27.335	6.09	24980.8772314	10364992.23
2016-02-18	79	311.35	318.08	310.62	315.79	314.77	7.46	3.73	624.12	33.4725	1.3525	18546.13170044	7785871.62
2016-02-19	80	315.78	316.42	311.25	315.04	314.39	5.17	2.59	624.9	28.005	8.115	14051.4252342	5890613.14
2016-02-20	81	315.17	332.72	314.89	326.6	324.69	17.83	8.92	635.36	33.5975	-2.91	24609.70527138	10650332.99
2016-02-21	82	327.02	335.85	319.36	328.69	327.68	16.49	8.24	640.9	24.395	-4.59	21121.54239061	9236228.08
2016-02-22	83	328.68	329.16	323.45	328.31	327.23	5.71	2.86	650.9	29.0075	-1.5425	12867.77263788	5616081.26
2016-02-23	84	328.21	330.1	310.93	314.7	319.06	19.17	9.58	610.23	9.1575	9.92	23102.422922830003	9824693.39
2016-02-24	85	314.78	318.53	307.54	317.43	315.39	10.99	5.5	623.87	6.09	-1.1925	17382.78226822	7308363.14
2016-02-25	86	317.92	319.68	312.95	317.14	316.45	6.73	3.37	627.56	1.3525	-2.4875	13717.138814500002	5790694.81
2016-02-26	87	317.24	323.15	314.03	323.15	317.81	9.12	4.56	637.18	8.115	-17.4625	13392.59969268	5675360.66
2016-02-27	88	323.35	325.67	321.7	323.68	323.53	3.98	1.99	643.39	-2.91	72.72025	10524.915549289999	4544408.38
2016-02-28	89	323.68	326.18	316.74	324.1	321.89	9.44	4.72	638.76	-4.59	79.09475	9934.705603030001	4269331.72
