Country,Currency
Afghanistan,Afghan afghani
Akrotiri and Dhekelia,European euro
Aland Islands,European euro
Albania,Albanian lek
Algeria,Algerian dinar
American Samoa (USA),United States dollar
Andorra,European euro
Angola,Angolan kwanza
Anguilla (UK),East Caribbean dollar
Antigua and Barbuda,East Caribbean dollar
Argentina,Argentine peso
Armenia,Armenian dram
Aruba (Netherlands),Aruban florin
Ascension Island (UK),Saint Helena pound
Australia,Australian dollar
Austria,European euro
Azerbaijan,Azerbaijan manat
Bahamas,Bahamian dollar
Bahrain,Bahraini dinar
Bangladesh,Bangladeshi taka
Barbados,Barbadian dollar
Belarus,Belarusian ruble
Belgium,European euro
Belize,Belize dollar
Benin,West African CFA franc
Bermuda (UK),Bermudian dollar
Bhutan,Bhutanese ngultrum
Bolivia,Bolivian boliviano
Bonaire (Netherlands),United States dollar
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark
Botswana,Botswana pula
Brazil,Brazilian real
British Indian Ocean Territory (UK),United States dollar
British Virgin Islands (UK),United States dollar
Brunei,Brunei dollar
Bulgaria,Bulgarian lev
Burkina Faso,West African CFA franc
Burundi,Burundi franc
Cabo Verde,Cape Verdean escudo
Cambodia,Cambodian riel
Cameroon,Central African CFA franc
Canada,Canadian dollar
Caribbean Netherlands (Netherlands),United States dollar
Cayman Islands (UK),Cayman Islands dollar
Central African Republic,Central African CFA franc
Chad,Central African CFA franc
Chatham Islands (New Zealand),New Zealand dollar
Chile,Chilean peso
China,Chinese Yuan Renminbi
Christmas Island (Australia),Australian dollar
Cocos (Keeling) Islands (Australia),Australian dollar
Colombia,Colombian peso
Comoros,Comorian franc
"Congo, Democratic Republic of the",Congolese franc
"Congo, Republic of the",Central African CFA franc
Cook Islands (New Zealand),Cook Islands dollar
Costa Rica,Costa Rican colon
Cote d'Ivoire,West African CFA franc
Croatia,Croatian kuna
Cuba,Cuban peso
Curacao (Netherlands),Netherlands Antillean guilder
Cyprus,European euro
Czech Republic,Czech koruna
Denmark,Danish krone
Djibouti,Djiboutian franc
Dominica,East Caribbean dollar
Dominican Republic,Dominican peso
